Année,Nombre d'IVG
2022,242997
2021,225175
2020,223296
2019,233259
2018,225226
2017,217793
2016,216068
2015,220319
2014,227055
2013,228984
2012,219148
2011,221970
2010,225836
2009,222277
2008,222188
2007,226812
2006,228678
2005,219421
2004,221587
2003,216436
2002,220070
2001,215611
2000,205099
1999,210735
1998,211075
1997,204157
1996,202567
1995,193763
1994,202426
1993,203679
1992,204105
1991,211533
1990,208325
1989,230000
1988,230000
1987,230000
1986,239000
1985,249000
1984,260000
1983,261000
1982,263000
1981,265000
1980,262000
1979,259000
1978,256000
1977,253000
1976,250000
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
